Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
27.70734902,-165.2279968,426.3250122,-233.0899963,513.2097557
27.72739375,-159.6369934,425.7009888,-236.0700073,512.2834663
27.7474361,-148.3280029,426.1069946,-231.3719788,507.0516343
27.76739252,-139.3800049,425.5169678,-225.7489929,501.4519752
27.78739979,-127.3339996,424.947998,-215.8190002,493.3280748
27.80784294,-124.5530014,423.6950073,-209.32901,488.7223586
27.82741817,-119.2409973,422.2940063,-210.7619934,486.7969403
27.84774479,-118.3190002,420.4289551,-212.5350037,485.7273102
27.86736433,-117.0849991,418.8059692,-210.0299988,482.9285012
27.88736467,-114.7519989,417.0849609,-211.1609802,481.3697596
27.90739613,-117.6449966,420.052002,-213.7510071,485.7710599
27.92772925,-121.4810028,420.9749756,-220.8500061,490.6651499
27.94742687,-123.822998,423.0599976,-229.7980042,497.1106709
27.96764075,-127.2310028,427.0650024,-240.973999,506.5971897
27.98740852,-135.2359924,429.8219604,-252.144989,516.3456079
28.00962833,-139.7279968,438.6430054,-260.4670105,528.9372957
28.03739525,-153.4230042,459.4030151,-287.9500122,563.475783
28.0673656,-153.4190063,459.3919678,-287.9419861,563.461586
28.08744287,-152.4320068,463.8479614,-299.993988,573.0504698
28.10732833,-141.720993,480.0880127,-313.9360046,590.8681366
28.12733679,-136.6629944,492.3759766,-316.2160034,600.9188274
28.1473401,-134.9429932,505.875,-322.2590027,614.7926413
28.16735944,-133.7089996,517.1060181,-330.0650024,627.8691236
28.18728829,-128.9940033,533.4650269,-336.20401,643.6284053
28.20738825,-129.2220001,550.1400146,-350.053009,664.7476741
28.2274974,-126.6869965,584.0109863,-376.7929993,706.4640058
28.24737298,-137.0720062,601.9299927,-395.4030457,733.1111918
28.2673866,-143.9900055,622.9180298,-409.5049744,759.2458874
28.28733421,-154.5,642.2839966,-424.7990417,785.4000306
28.30740983,-164.3240051,661.2360229,-441.9079895,812.1072145
28.32740563,-176.798996,676.6870117,-461.9610291,838.1951975
28.34734652,-198.0319977,703.9890137,-484.7229919,877.3674158
28.36736202,-207.6699982,714.1300049,-495.644989,893.7407046
28.38746298,-213.1029968,725.1729736,-503.4980164,908.1844424
28.40737286,-219.1950073,733.9030151,-512.8070068,921.754367
28.42741202,-221.3079987,742.5310059,-519.3050537,932.7417991
28.44863856,-221.2310028,754.6660156,-528.0500488,947.2596296
28.46739036,-220.154007,766.1500244,-536.7640381,961.025119
28.48757367,-217.2169952,795.90802,-549.5369873,991.2838644
28.50740694,-219.3379974,809.3009644,-556.8200684,1006.541503
28.5279426,-220.5789948,823.4920044,-560.7640381,1020.416817
28.54739536,-223.1300049,838.572937,-566.5870361,1036.345714
28.5674036,-227.0500031,851.0239868,-575.0880127,1051.912426
28.58750944,-230.6900024,864.7749634,-584.5490723,1068.995431
28.6073541,-243.177002,890.4419556,-602.5380859,1102.303985
28.6273456,-246.7070007,902.9629517,-613.4880371,1119.184528
28.64735979,-255.2559967,918.2439575,-627.6580811,1141.175822
28.66738783,-265.6239929,937.3439331,-642.6070557,1167.096218
28.68743475,-273.9930115,956.9429321,-660.9350586,1194.841871
28.70742929,-280.9429932,982.1809692,-677.6149902,1225.8754
28.72742956,-293.7109985,1042.862061,-715.6590576,1298.458823
28.74741967,-301.302002,1075.840942,-735.4100342,1337.551699
28.76738802,-311.4320068,1112.090942,-757.7700195,1381.286198
28.7874364,-319.0929871,1147.520996,-773.0330811,1419.931307
28.8073934,-328.0029907,1178.391968,-796.7030029,1459.770279
28.8274291,-332.7349854,1207.655029,-814.4360352,1494.138312
28.84741871,-337.0469971,1231.149048,-828.5789795,1521.798864
28.86739956,-336.2789917,1248.723999,-847.6400146,1546.249909
